full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,salary
Caglar Söyüncü,26,2022/2023,Defender,Leicester City,79,72,7,Turkey,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.14,79,40,79,0,1.14,-1,-1,-1,22,2340000
Callum Wilson,30,2022/2023,Forward,Newcastle United,1164,662,502,England,17,10,7,7,5,2,3,3,0,1,0,10,6,4,6,5,1,3,0,0.77,0.23,0.54,0.68,0.36,166,0.46,194,68,388,388,0.23,16,44,-1,2,2400000
Calum Chambers,28,2022/2023,Defender,Aston Villa,197,99,98,England,5,3,2,0,0,0,0,0,0,0,0,2,1,1,4,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0,1.83,49,39,197,0,0.46,-1,-1,-1,10,1225000
Calvin Ramsey,19,2022/2023,Defender,Liverpool,0,0,0,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,390000
Carney Chukwuemeka,19,2022/2023,Midfielder,Chelsea,196,146,50,England,8,4,4,0,0,0,0,0,0,0,0,4,2,2,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.46,196,25,0,0,0.0,-1,-1,-1,21,5200000
Cedric Soares,31,2022/2023,Defender,Fulham,27,27,0,Portugal,3,2,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,0.0,-1,-1,-1,13,3900000
Cesar Azpilicueta,33,2022/2023,Defender,Chelsea,1101,573,528,Spain,19,10,9,0,0,0,0,0,0,0,0,8,4,4,9,4,5,3,0,0.0,0.0,0.0,0.0,0.0,0,0.74,122,58,367,0,0.25,387,375,13,30,9360000
Che Adams,26,2022/2023,Forward,Southampton,1580,772,808,Scotland,21,11,10,4,0,4,2,1,1,0,0,1,0,1,31,15,16,0,0,0.34,0.11,0.23,0.0,0.45,395,1.77,51,75,0,790,0.0,69,116,-1,2,1560000
Cheikhou Kouyaté,33,2022/2023,Midfielder,Nottingham Forest,708,398,310,Senegal,12,6,6,1,1,0,0,0,0,0,0,3,2,1,20,5,15,2,0,0.13,0.0,0.13,0.23,0.0,708,2.54,35,59,354,0,0.25,122,243,-1,5,2340000
Chris Mepham,25,2022/2023,Defender,AFC Bournemouth,1658,757,901,Wales,20,9,11,0,0,0,0,0,0,0,0,4,3,1,39,11,28,6,0,0.0,0.0,0.0,0.0,0.0,0,2.12,43,83,276,0,0.33,313,324,164,28,1820000
Chris Richards,22,2022/2023,Defender,Crystal Palace,352,210,142,USA,8,4,4,0,0,0,0,0,0,0,0,1,1,0,8,3,5,0,0,0.0,0.0,0.0,0.0,0.0,0,2.05,44,44,0,0,0.0,305,303,162,13,2860000
Chris Wood,31,2022/2023,Forward,Nottingham Forest,736,259,477,New Zealand,23,12,11,3,1,2,0,0,0,1,0,12,8,4,6,0,6,0,0,0.37,0.0,0.37,0.35,0.38,245,0.73,123,32,0,0,0.0,35,278,-1,3,3466667
Christian Eriksen,30,2022/2023,Midfielder,Manchester United,1499,565,934,Denmark,19,8,11,1,0,1,7,4,3,0,0,7,4,3,22,5,17,3,0,0.48,0.42,0.06,0.0,0.1,1499,1.32,68,79,500,214,0.18,177,10,-1,9,7800000
Christian Nørgaard,28,2022/2023,Midfielder,Brentford,1046,585,461,Denmark,13,7,6,1,0,1,2,1,1,0,0,5,3,2,10,5,5,2,0,0.26,0.17,0.09,0.0,0.2,1046,0.86,105,80,523,523,0.17,156,70,-1,8,1040000
Christian Pulisic,24,2022/2023,Midfielder,Chelsea,604,284,320,USA,16,8,8,1,1,0,1,0,1,0,0,4,2,2,6,0,6,1,0,0.3,0.15,0.15,0.32,0.0,604,0.89,101,38,604,604,0.15,113,83,-1,9,7150000
Claudio Gomes,22,2022/2023,Midfielder,Manchester City,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,140000
Clément Lenglet,27,2022/2023,Defender,Tottenham Hotspur,1107,758,349,France,15,10,5,0,0,0,2,1,1,0,0,3,2,1,20,13,7,1,0,0.16,0.16,0.0,0.0,0.0,0,1.63,55,74,1107,554,0.08,293,79,130,19,7540000
Cody Mathès Gakpo,23,2022/2023,Forward,Liverpool,494,176,318,Netherlands,7,3,4,2,1,1,0,0,0,0,0,5,3,2,6,0,6,0,0,0.36,0.0,0.36,0.51,0.28,247,1.09,82,71,0,0,0.0,37,191,-1,7,5720000
Cole Palmer,20,2022/2023,Midfielder,Manchester City,108,93,15,England,8,6,2,0,0,0,0,0,0,0,0,5,3,2,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.83,108,14,108,0,0.83,-1,-1,-1,18,700000
Conor Coady,29,2022/2023,Defender,Everton,1971,990,981,England,22,11,11,1,0,1,1,0,1,0,0,6,5,1,28,13,15,2,0,0.09,0.05,0.05,0.0,0.09,1971,1.28,70,90,986,1971,0.09,191,176,82,3,858000
Conor Gallagher,23,2022/2023,Midfielder,Chelsea,845,421,424,England,21,10,11,1,0,1,1,0,1,0,0,8,4,4,6,0,6,6,1,0.21,0.11,0.11,0.0,0.21,845,0.64,141,40,141,845,0.64,142,115,-1,11,2600000
Cristian Gabriel Romero,24,2022/2023,Defender,Tottenham Hotspur,1375,745,630,Argentina,16,9,7,0,0,0,0,0,0,0,0,7,4,3,16,6,10,7,1,0.0,0.0,0.0,0.0,0.0,0,1.05,86,86,196,0,0.46,290,292,42,26,8580000
Crysencio Summerville,21,2022/2023,Forward,Leeds United,846,321,525,Netherlands,17,8,9,4,2,2,1,1,0,0,0,3,2,1,20,9,11,2,0,0.53,0.11,0.43,0.56,0.34,212,2.13,42,50,423,846,0.21,26,112,-1,2,300000
Dale Taylor,19,2022/2023,Forward,Nottingham Forest,0,0,0,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,1300000
Dan Burn,30,2022/2023,Defender,Newcastle United,1947,1001,946,England,23,12,11,0,0,0,0,0,0,0,0,12,7,5,13,8,5,2,0,0.0,0.0,0.0,0.0,0.0,0,0.6,150,85,974,0,0.09,277,276,6,21,1000000
Daniel Amartey,28,2022/2023,Defender,Leicester City,1364,720,644,Ghana,17,8,9,0,0,0,0,0,0,0,0,5,2,3,22,11,11,1,0,0.0,0.0,0.0,0.0,0.0,0,1.45,62,80,1364,0,0.07,334,335,109,25,1092000
Daniel Castelo Podence,27,2022/2023,Midfielder,Wolverhampton Wanderers,1384,678,706,Portugal,24,12,12,5,2,3,0,0,0,0,0,6,5,1,24,11,13,4,0,0.33,0.0,0.33,0.27,0.38,277,1.56,58,58,346,0,0.26,42,381,-1,1,3120000
Daniel James,25,2022/2023,Forward,Fulham,554,276,278,Wales,15,7,8,1,1,0,0,0,0,0,0,3,2,1,13,6,7,0,0,0.16,0.0,0.16,0.33,0.0,554,2.11,43,37,0,0,0.0,100,236,-1,12,2600000
Danilo dos Santos de Oliveira,21,2022/2023,Midfielder,Nottingham Forest,149,104,45,Brazil,3,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.6,149,50,149,0,0.6,-1,-1,-1,13,950000
Danny Welbeck,32,2022/2023,Forward,Brighton & Hove Albion,1145,588,557,England,16,8,8,1,1,0,2,0,2,0,0,6,5,1,16,5,11,0,0,0.24,0.16,0.08,0.15,0.0,1145,1.26,72,72,0,573,0.0,159,75,-1,8,2860000
Darwin Núñez,23,2022/2023,Forward,Liverpool,1211,586,625,Uruguay,18,10,8,6,3,3,3,1,2,0,0,7,5,2,17,5,12,2,1,0.67,0.22,0.45,0.46,0.43,202,1.26,71,67,404,404,0.22,22,49,-1,3,9330000
David Datro Fofana,20,2022/2023,Forward,Chelsea,61,61,0,Ivory Coast,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.48,61,31,0,0,0.0,-1,-1,-1,15,10400000
Davinson Sánchez Mina,26,2022/2023,Defender,Tottenham Hotspur,569,268,301,Colombia,13,6,7,0,0,0,0,0,0,0,0,4,3,1,9,5,4,1,0,0.0,0.0,0.0,0.0,0.0,0,1.42,63,44,569,0,0.16,294,359,102,20,6240000
Declan Rice,24,2022/2023,Midfielder,West Ham United,2160,1080,1080,England,24,12,12,2,1,1,1,0,1,0,1,5,4,1,28,12,16,3,0,0.13,0.04,0.08,0.08,0.08,1080,1.17,77,90,720,2160,0.13,158,184,-1,6,3120000
