full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,salary
Kevin De Bruyne,31,2017/2018,Midfielder,Manchester City,3085,1427,1658,Belgium,37,18,19,8,5,3,16,12,4,0,0,18,8,10,20,8,12,2,0,0.7,0.47,0.23,0.32,0.16,386,0.58,154,83,1543,193,0.06,75,4,-1,6,16683333
Kevin Long,32,2017/2018,Defender,Burnley,1440,810,630,Republic of Ireland,16,9,7,1,1,0,2,0,2,0,0,4,3,1,18,8,10,1,0,0.19,0.13,0.06,0.11,0.0,1440,1.13,80,90,1440,720,0.06,192,101,60,8,832000
Kevin Wimmer,29,2017/2018,Defender,Stoke City,1321,577,744,Austria,17,7,10,0,0,0,0,0,0,0,0,1,0,1,31,10,21,5,0,0.0,0.0,0.0,0.0,0.0,0,2.11,43,78,264,0,0.34,374,396,173,22,3640000
Kieran Gibbs,32,2017/2018,Defender,West Bromwich Albion,2831,1367,1464,England,33,16,17,0,0,0,1,1,0,0,0,8,5,3,41,21,20,3,0,0.03,0.03,0.0,0.0,0.0,0,1.3,69,86,944,2831,0.1,297,233,84,16,2860000
Kieran Trippier,31,2017/2018,Defender,Tottenham Hotspur,1914,1073,841,England,24,12,12,0,0,0,5,2,3,0,0,9,6,3,17,8,9,1,0,0.24,0.24,0.0,0.0,0.0,0,0.8,113,80,1914,383,0.05,275,42,25,11,3380000
Konstantinos Mavropanos,24,2017/2018,Defender,Arsenal,195,90,105,Greece,3,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.92,98,65,98,0,0.92,-1,-1,-1,26,1191667
Kurt Zouma,27,2017/2018,Defender,Stoke City,2887,1381,1506,France,34,17,17,1,0,1,0,0,0,0,0,6,3,3,48,21,27,1,0,0.03,0.0,0.03,0.0,0.06,2887,1.5,60,85,2887,0,0.03,240,372,135,9,2080000
Kyle Bartley,31,2017/2018,Defender,Swansea City,233,67,166,England,5,1,4,0,0,0,0,0,0,0,0,1,0,1,4,1,3,2,0,0.0,0.0,0.0,0.0,0.0,0,1.55,58,47,117,0,0.77,-1,-1,-1,16,1456000
Kyle Naughton,33,2017/2018,Defender,Swansea City,3033,1505,1528,England,34,17,17,0,0,0,2,1,1,0,0,9,5,4,47,19,28,1,0,0.06,0.06,0.0,0.0,0.0,0,1.39,65,89,3033,1517,0.03,322,181,104,24,1664000
Kyle Scott,24,2017/2018,Midfielder,Chelsea,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,156000
Kyle Taylor,23,2017/2018,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,1300000
Kyle Walker,32,2017/2018,Defender,Manchester City,2787,1394,1393,England,32,16,16,0,0,0,6,2,4,0,0,15,7,8,20,9,11,4,1,0.19,0.19,0.0,0.0,0.0,0,0.65,139,87,697,465,0.13,359,65,10,23,5200000
Kyle Walker-Peters,25,2017/2018,Defender,Tottenham Hotspur,188,90,98,England,3,1,2,0,0,0,2,2,0,0,0,2,0,2,4,4,0,0,0,0.96,0.96,0.0,0.0,0.0,0,1.91,47,63,0,94,0.0,-1,-1,-1,21,1040000
Laurent Depoitre,33,2017/2018,Forward,Huddersfield Town,1808,824,984,Belgium,33,15,18,6,3,3,1,0,1,0,0,7,5,2,32,14,18,1,0,0.35,0.05,0.3,0.33,0.27,301,1.59,57,55,1808,1808,0.05,53,192,-1,2,1820000
Laurent Koscielny,36,2017/2018,Defender,Arsenal,2227,1080,1147,France,25,12,13,2,2,0,0,0,0,0,0,8,5,3,31,13,18,4,0,0.08,0.0,0.08,0.17,0.0,1114,1.25,72,89,557,0,0.16,170,250,74,12,4680000
Leighton Baines,37,2017/2018,Defender,Everton,1910,990,920,England,22,11,11,2,1,1,3,2,1,2,0,5,4,1,31,14,17,1,0,0.24,0.14,0.09,0.09,0.1,955,1.46,62,87,1910,637,0.05,165,98,123,8,3640000
Leon Britton,39,2017/2018,Midfielder,Swansea City,305,162,143,England,5,3,2,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.3,305,61,305,0,0.3,324,345,-1,22,1820000
Leroy Fer,32,2017/2018,Midfielder,Swansea City,1397,648,749,Netherlands,20,9,11,1,0,1,1,0,1,0,0,6,3,3,24,9,15,5,0,0.13,0.06,0.06,0.0,0.12,1397,1.55,58,70,279,1397,0.32,196,179,-1,11,2340000
Leroy Sané,26,2017/2018,Midfielder,Manchester City,2423,1238,1185,Germany,32,15,17,10,5,5,15,12,3,0,0,15,6,9,21,11,10,4,0,0.93,0.56,0.37,0.36,0.38,242,0.78,115,76,606,162,0.15,35,1,-1,4,4680000
Lewis Cook,25,2017/2018,Midfielder,AFC Bournemouth,2238,1272,966,England,29,16,13,0,0,0,2,1,1,0,0,5,3,2,39,23,16,5,0,0.08,0.08,0.0,0.0,0.0,0,1.57,57,77,448,1119,0.2,266,157,-1,16,1560000
Lewis Dunk,30,2017/2018,Defender,Brighton & Hove Albion,3420,1710,1710,England,38,19,19,1,1,0,1,0,1,0,0,10,5,5,52,23,29,7,0,0.05,0.03,0.03,0.05,0.0,3420,1.37,66,90,489,3420,0.18,234,243,97,9,1820000
Liam Rosenior,38,2017/2018,Defender,Brighton & Hove Albion,162,28,134,England,3,1,2,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,1.67,54,54,0,0,0.0,-1,-1,-1,16,1040000
Lucas Rodrigues Moura da Silva,30,2017/2018,Midfielder,Tottenham Hotspur,208,98,110,Brazil,6,3,3,0,0,0,1,1,0,0,0,2,1,1,5,4,1,0,0,0.43,0.43,0.0,0.0,0.0,0,2.16,42,35,0,208,0.0,-1,-1,-1,23,8320000
Luciano Narsingh,31,2017/2018,Forward,Swansea City,616,404,212,Netherlands,18,11,7,1,0,1,0,0,0,0,0,2,2,0,14,9,5,0,0,0.15,0.0,0.15,0.0,0.42,616,2.05,44,34,0,0,0.0,125,339,-1,9,1560000
Luka Milivojević,31,2017/2018,Midfielder,Crystal Palace,3082,1565,1517,Serbia,36,19,17,10,4,6,1,1,0,7,1,8,4,4,51,24,27,8,0,0.32,0.03,0.29,0.23,0.36,308,1.49,60,86,385,3082,0.23,58,239,-1,1,2860000
Luke Garbutt,29,2017/2018,Defender,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,1456000
Luke Shaw,27,2017/2018,Defender,Manchester United,788,473,315,England,11,6,5,0,0,0,0,0,0,0,0,8,5,3,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0.23,394,72,394,0,0.23,252,287,2,25,5720000
Lys Mousset,26,2017/2018,Forward,AFC Bournemouth,581,264,317,France,23,11,12,2,2,0,0,0,0,0,0,2,1,1,12,5,7,1,0,0.31,0.0,0.31,0.68,0.0,291,1.86,48,25,581,0,0.15,51,365,-1,7,1040000
Mamadou Sakho,32,2017/2018,Defender,Crystal Palace,1600,700,900,France,19,9,10,1,1,0,2,2,0,0,0,6,2,4,23,9,14,1,0,0.17,0.11,0.06,0.13,0.0,1600,1.29,70,84,1600,800,0.06,197,122,80,10,5200000
Mame Biram Diouf,34,2017/2018,Forward,Stoke City,2602,1341,1261,Senegal,35,17,18,6,5,1,2,2,0,0,0,6,3,3,49,23,26,6,0,0.28,0.07,0.21,0.34,0.07,434,1.69,53,74,434,1301,0.21,88,173,-1,2,3380000
Manolo Gabbiadini,30,2017/2018,Forward,Southampton,1072,673,399,Italy,28,15,13,5,3,2,0,0,0,1,0,7,3,4,17,10,7,2,0,0.42,0.0,0.42,0.4,0.45,214,1.43,63,38,536,0,0.17,28,401,-1,3,4160000
Manuel Lanzini,29,2017/2018,Midfielder,West Ham United,2047,973,1074,Argentina,27,13,14,5,3,2,6,2,4,0,1,6,4,2,42,17,25,4,0,0.48,0.26,0.22,0.28,0.17,409,1.85,49,76,512,341,0.18,78,29,-1,3,3640000
Marc Albrighton,32,2017/2018,Midfielder,Leicester City,2544,1357,1187,England,34,17,17,2,1,1,7,3,4,0,0,9,6,3,38,17,21,6,1,0.32,0.25,0.07,0.07,0.08,1272,1.34,67,75,363,363,0.25,190,34,-1,8,2340000
Marc Pugh,35,2017/2018,Midfielder,AFC Bournemouth,983,564,419,England,20,12,8,0,0,0,0,0,0,0,0,6,3,3,17,9,8,2,0,0.0,0.0,0.0,0.0,0.0,0,1.56,58,49,492,0,0.18,391,333,-1,21,1300000
Marcos Alonso,31,2017/2018,Defender,Chelsea,2860,1591,1269,Spain,33,18,15,7,3,4,2,0,2,0,0,14,9,5,27,15,12,6,0,0.28,0.06,0.22,0.17,0.28,409,0.85,106,87,477,1430,0.19,82,184,30,3,4680000
Marcus Rashford,24,2017/2018,Forward,Manchester United,1805,1015,790,England,35,18,17,7,5,2,5,4,1,0,0,19,12,7,15,7,8,3,0,0.6,0.25,0.35,0.44,0.23,258,0.75,120,52,602,361,0.15,42,32,-1,5,1690000
Mario Lemina,29,2017/2018,Midfielder,Southampton,1723,844,879,Gabon,25,11,14,1,0,1,1,1,0,0,0,5,2,3,29,13,16,2,0,0.1,0.05,0.05,0.0,0.1,1723,1.51,59,69,862,1723,0.1,219,208,-1,12,3380000
Mark Noble,35,2017/2018,Midfielder,West Ham United,2404,1247,1157,England,29,15,14,4,1,3,0,0,0,2,0,8,6,2,43,17,26,6,0,0.15,0.0,0.15,0.07,0.23,601,1.61,56,83,401,0,0.22,119,370,-1,4,2600000
Marko Arnautović,33,2017/2018,Forward,West Ham United,2323,1281,1042,Austria,31,16,15,11,6,5,6,2,4,0,0,8,5,3,46,21,25,6,1,0.66,0.23,0.43,0.42,0.43,211,1.78,51,75,332,387,0.27,27,43,-1,1,5200000
Marko Grujić,26,2017/2018,Midfielder,Liverpool,13,6,7,Serbia,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,0.0,-1,-1,-1,20,702000
Markus Suttner,35,2017/2018,Defender,Brighton & Hove Albion,1178,720,458,Austria,14,8,6,0,0,0,0,0,0,0,0,4,3,1,17,9,8,0,0,0.0,0.0,0.0,0.0,0.0,0,1.3,69,84,0,0,0.0,411,346,85,19,1300000
Marouane Fellaini,34,2017/2018,Midfielder,Manchester United,612,296,316,Belgium,16,9,7,4,4,0,0,0,0,0,0,10,6,4,1,0,1,1,0,0.59,0.0,0.59,1.22,0.0,153,0.15,612,38,612,0,0.15,11,406,-1,7,4550000
Martin Kelly,32,2017/2018,Defender,Crystal Palace,1194,514,680,England,15,7,8,0,0,0,0,0,0,0,0,4,2,2,20,10,10,1,0,0.0,0.0,0.0,0.0,0.0,0,1.51,60,80,1194,0,0.08,262,383,137,17,1300000
Martin Olsson,34,2017/2018,Defender,Swansea City,3154,1552,1602,Sweden,36,18,18,0,0,0,1,0,1,0,0,9,5,4,48,21,27,7,0,0.03,0.03,0.0,0.0,0.0,0,1.37,66,88,451,3154,0.2,321,231,98,25,1716000
Marvin Zeegelaar,32,2017/2018,Defender,Watford,995,630,365,Netherlands,12,7,5,0,0,0,1,0,1,0,0,2,1,1,15,10,5,5,1,0.09,0.09,0.0,0.0,0.0,0,1.36,66,83,166,995,0.54,282,142,92,19,1040000
Mason Holgate,25,2017/2018,Defender,Everton,1182,552,630,England,15,7,8,0,0,0,0,0,0,0,0,5,3,2,14,5,9,3,0,0.0,0.0,0.0,0.0,0.0,0,1.07,84,79,394,0,0.23,310,382,58,20,1300000
Massadio Haïdara,29,2017/2018,Defender,Newcastle United,3,3,0,France,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,0.0,-1,-1,-1,26,1040000
Mathieu Debuchy,37,2017/2018,Defender,Arsenal,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,3900000
Matias Ezequiel Schelotto,33,2017/2018,Defender,Brighton & Hove Albion,1316,615,701,Italy,20,9,11,0,0,0,0,0,0,0,0,2,0,2,29,12,17,3,0,0.0,0.0,0.0,0.0,0.0,0,1.98,45,66,439,0,0.21,293,316,172,20,1664000
Matt Butcher,25,2017/2018,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,31200
Matt Phillips,31,2017/2018,Midfielder,West Bromwich Albion,2096,1281,815,Scotland,30,17,13,2,1,1,2,1,1,0,0,8,5,3,31,18,13,3,0,0.17,0.09,0.09,0.07,0.11,1048,1.33,68,70,699,1048,0.13,163,137,-1,7,2080000
Matt Ritchie,32,2017/2018,Midfielder,Newcastle United,2812,1441,1371,Scotland,35,18,17,3,3,0,5,3,2,0,0,9,7,2,34,14,20,6,0,0.26,0.16,0.1,0.19,0.0,937,1.09,83,80,469,562,0.19,149,74,-1,5,2340000
Matt Targett,26,2017/2018,Defender,Southampton,167,90,77,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0,3.23,28,84,0,0,0.0,-1,-1,-1,14,1820000
Matteo Darmian,32,2017/2018,Defender,Manchester United,442,90,352,Italy,8,3,5,0,0,0,0,0,0,0,0,4,2,2,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.61,147,55,0,0,0.0,379,411,8,20,2340000
Matthew Lowton,33,2017/2018,Defender,Burnley,2294,1214,1080,England,26,14,12,0,0,0,3,2,1,0,0,8,5,3,23,7,16,1,0,0.12,0.12,0.0,0.0,0.0,0,0.9,100,88,2294,765,0.04,326,110,41,22,1040000
Matty James,31,2017/2018,Midfielder,Leicester City,995,546,449,England,13,7,6,0,0,0,0,0,0,0,0,4,3,1,14,4,10,2,0,0.0,0.0,0.0,0.0,0.0,0,1.27,71,77,498,0,0.18,336,307,-1,21,1300000
Maya Yoshida,34,2017/2018,Defender,Southampton,2051,1174,877,Japan,24,14,10,2,1,1,0,0,0,0,0,6,2,4,29,18,11,4,1,0.09,0.0,0.09,0.08,0.1,1026,1.27,71,85,513,0,0.18,161,407,76,7,2600000
Mesut Özil,33,2017/2018,Midfielder,Arsenal,2164,1243,921,Germany,26,15,11,4,3,1,8,6,2,0,0,8,7,1,35,16,19,4,0,0.5,0.33,0.17,0.22,0.1,541,1.46,62,83,541,271,0.17,108,14,-1,6,13975000
Michael Carrick,41,2017/2018,Midfielder,Manchester United,109,85,24,England,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,55,0,0,0.0,-1,-1,-1,17,4160000
Michael Hefele,32,2017/2018,Defender,Huddersfield Town,31,0,31,Germany,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,2.9,31,16,31,0,2.9,-1,-1,-1,17,780000
Michael Keane,29,2017/2018,Defender,Everton,2561,1270,1291,England,30,15,15,0,0,0,1,1,0,0,0,8,6,2,43,17,26,3,0,0.04,0.04,0.0,0.0,0.0,0,1.51,60,85,854,2561,0.11,306,210,138,27,3120000
Michail Antonio,32,2017/2018,Midfielder,West Ham United,1357,707,650,England,21,10,11,3,0,3,1,1,0,0,0,8,6,2,22,8,14,1,0,0.27,0.07,0.2,0.0,0.42,452,1.46,62,65,1357,1357,0.07,95,172,-1,5,3640000
Mike van der Hoorn,29,2017/2018,Defender,Swansea City,1952,946,1006,Netherlands,24,11,13,1,1,0,0,0,0,0,0,7,4,3,27,12,15,4,0,0.05,0.0,0.05,0.1,0.0,1952,1.24,72,81,488,0,0.18,209,378,71,12,780000
Mikel Merino,26,2017/2018,Midfielder,Newcastle United,1343,693,650,Spain,24,13,11,1,1,0,1,1,0,0,0,5,4,1,18,7,11,4,0,0.13,0.07,0.07,0.13,0.0,1343,1.21,75,56,336,1343,0.27,183,174,-1,13,1820000
Mohamed Diamé,35,2017/2018,Midfielder,Newcastle United,2042,968,1074,Senegal,31,15,16,2,0,2,0,0,0,0,0,8,6,2,27,9,18,3,0,0.09,0.0,0.09,0.0,0.17,1021,1.19,76,66,681,0,0.13,160,266,-1,8,2340000
Mohamed Elneny,30,2017/2018,Midfielder,Arsenal,870,555,315,Egypt,13,8,5,0,0,0,1,1,0,0,0,5,4,1,11,6,5,4,1,0.1,0.1,0.0,0.0,0.0,0,1.14,79,67,174,870,0.52,330,135,-1,24,2574000
Mohamed Salah,30,2017/2018,Forward,Liverpool,2922,1556,1366,Egypt,36,19,17,32,19,13,10,8,2,1,1,16,12,4,29,7,22,1,0,1.29,0.31,0.99,1.1,0.86,91,0.89,101,81,2922,292,0.03,1,16,-1,1,6240000
Molla Wagué,31,2017/2018,Defender,Watford,439,244,195,Mali,6,3,3,1,1,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0.21,0.0,0.21,0.37,0.0,439,1.64,55,73,0,0,0.0,86,285,161,16,468000
Morgan Schneiderlin,32,2017/2018,Midfielder,Everton,2128,1029,1099,France,30,15,15,0,0,0,0,0,0,0,0,8,5,3,37,14,23,7,1,0.0,0.0,0.0,0.0,0.0,0,1.56,58,71,304,0,0.3,307,368,-1,26,5200000
Moussa Dembele,35,2017/2018,Midfielder,Tottenham Hotspur,1885,895,990,Belgium,28,13,15,0,0,0,0,0,0,0,0,11,7,4,20,6,14,6,0,0.0,0.0,0.0,0.0,0.0,0,0.95,94,67,314,0,0.29,371,367,-1,20,2860000
Moussa Sissoko,33,2017/2018,Midfielder,Tottenham Hotspur,1393,650,743,France,33,17,16,1,0,1,1,0,1,0,0,14,9,5,16,9,7,3,0,0.13,0.06,0.06,0.0,0.12,1393,1.03,87,42,464,1393,0.19,193,189,-1,8,4160000
Muhamed Bešić,29,2017/2018,Midfielder,Everton,44,0,44,Bosnia and Herzegovina,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22,0,0,0.0,-1,-1,-1,21,1538333
N'Golo Kanté,31,2017/2018,Midfielder,Chelsea,2998,1590,1408,France,34,18,16,1,0,1,1,1,0,0,0,15,10,5,29,13,16,3,0,0.06,0.03,0.03,0.0,0.06,2998,0.87,103,88,999,2998,0.09,237,226,-1,14,6240000
Nacer Chadli,33,2017/2018,Midfielder,West Bromwich Albion,215,11,204,Belgium,5,1,4,1,0,1,0,0,0,0,0,1,1,0,3,0,3,1,0,0.42,0.0,0.42,0.0,0.44,215,1.26,72,43,215,0,0.42,-1,-1,-1,13,3120000
Nacho Monreal,36,2017/2018,Defender,Arsenal,2244,1116,1128,Spain,28,14,14,5,3,2,2,2,0,0,0,11,7,4,26,9,17,3,0,0.28,0.08,0.2,0.24,0.16,449,1.04,86,80,748,1122,0.12,96,168,56,5,3380000
Nahki Wells,32,2017/2018,Forward,Burnley,46,22,24,Bermuda,9,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,0.0,-1,-1,-1,23,1300000
Nathan Aké,27,2017/2018,Defender,AFC Bournemouth,3353,1710,1643,Netherlands,38,19,19,2,1,1,3,2,1,0,0,6,3,3,54,28,26,5,0,0.13,0.08,0.05,0.05,0.05,1677,1.45,62,88,671,1118,0.13,212,160,119,9,2080000
Nathan Dyer,34,2017/2018,Midfielder,Swansea City,1312,805,507,England,24,14,10,0,0,0,0,0,0,0,0,4,4,0,20,9,11,2,0,0.0,0.0,0.0,0.0,0.0,0,1.37,66,55,656,0,0.14,246,297,-1,13,1664000
Nathan Redmond,28,2017/2018,Midfielder,Southampton,1945,944,1001,England,31,14,17,1,0,1,3,2,1,0,0,8,3,5,29,12,17,3,0,0.19,0.14,0.05,0.0,0.09,1945,1.34,67,63,648,648,0.14,218,91,-1,10,3120000
Nathaniel Chalobah,27,2017/2018,Midfielder,Watford,448,250,198,England,6,3,3,0,0,0,0,0,0,0,0,3,1,2,7,7,0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.41,64,75,448,0,0.2,343,290,-1,27,1820000
Nathaniel Clyne,31,2017/2018,Defender,Liverpool,174,25,149,England,3,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.52,174,58,174,0,0.52,-1,-1,-1,26,3640000
Nemanja Matić,34,2017/2018,Midfielder,Manchester United,3119,1620,1499,Serbia,36,18,18,1,0,1,1,1,0,0,0,17,11,6,25,9,16,6,0,0.06,0.03,0.03,0.0,0.06,3119,0.72,125,87,520,3119,0.17,236,235,-1,13,6240000
Nicolas Otamendi,34,2017/2018,Defender,Manchester City,2968,1502,1466,Argentina,34,17,17,4,2,2,0,0,0,0,0,15,7,8,23,12,11,9,0,0.12,0.0,0.12,0.12,0.12,742,0.7,129,87,330,0,0.27,135,364,14,9,6240000
Nikola Vlašić,24,2017/2018,Midfielder,Everton,575,363,212,Croatia,12,7,5,0,0,0,0,0,0,0,0,3,1,2,10,8,2,0,0,0.0,0.0,0.0,0.0,0.0,0,1.57,58,48,0,0,0.0,278,281,-1,16,1300000
Oleksandr Zinchenko,25,2017/2018,Midfielder,Manchester City,533,408,125,Ukraine,8,5,3,0,0,0,0,0,0,0,0,5,2,3,3,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.51,178,67,533,0,0.17,264,295,-1,16,1040000
Oliver Burke,25,2017/2018,Midfielder,West Bromwich Albion,356,236,120,Scotland,15,9,6,0,0,0,2,1,1,0,0,1,1,0,9,5,4,0,0,0.51,0.51,0.0,0.0,0.0,0,2.28,40,24,0,178,0.0,270,2,-1,17,1560000
Olivier Giroud,35,2017/2018,Forward,Chelsea,983,428,555,France,29,14,15,7,4,3,1,1,0,0,0,10,7,3,9,0,9,0,0,0.73,0.09,0.64,0.84,0.49,140,0.82,109,34,0,983,0.0,7,152,-1,4,4680000
Oluwatosin Adarabioyo,24,2017/2018,Defender,Manchester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,1560000
Onyinye Wilfred Ndidi,25,2017/2018,Midfielder,Leicester City,2899,1411,1488,Nigeria,33,16,17,0,0,0,3,1,2,0,0,9,6,3,43,16,27,10,2,0.09,0.09,0.0,0.0,0.0,0,1.33,67,88,290,966,0.31,337,145,-1,20,1668333
Oriol Romeu,30,2017/2018,Midfielder,Southampton,2903,1388,1515,Spain,34,17,17,1,0,1,0,0,0,0,0,8,3,5,43,22,21,11,0,0.03,0.0,0.03,0.0,0.06,2903,1.33,68,85,264,0,0.34,235,403,-1,11,3380000
Oumar Niasse,32,2017/2018,Forward,Everton,1081,550,531,Senegal,22,11,11,8,6,2,2,1,1,0,0,3,1,2,20,6,14,2,0,0.83,0.17,0.67,0.98,0.34,135,1.67,54,49,541,541,0.17,6,71,-1,2,2860000
Pablo Zabaleta,37,2017/2018,Defender,West Ham United,3291,1620,1671,Argentina,37,18,19,0,0,0,1,1,0,0,0,10,7,3,60,22,38,9,0,0.03,0.03,0.0,0.0,0.0,0,1.64,55,89,366,3291,0.25,381,236,162,21,3900000
Pape N'Diaye Souaré,32,2017/2018,Defender,Crystal Palace,8,8,0,Senegal,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,8,0,0,0.0,-1,-1,-1,14,1560000
Patrick van Aanholt,32,2017/2018,Defender,Crystal Palace,2185,1062,1123,Netherlands,28,14,14,5,3,2,1,1,0,0,0,6,4,2,37,13,24,7,0,0.25,0.04,0.21,0.25,0.16,437,1.52,59,78,312,2185,0.29,90,215,141,4,2860000
Paul Dummett,30,2017/2018,Defender,Newcastle United,1603,875,728,Wales,20,11,9,0,0,0,0,0,0,0,0,6,5,1,18,5,13,1,0,0.0,0.0,0.0,0.0,0.0,0,1.01,89,80,1603,0,0.06,364,330,52,21,1456000
Paul Pogba,29,2017/2018,Midfielder,Manchester United,2151,968,1183,France,27,13,14,6,3,3,10,3,7,0,0,13,8,5,19,5,14,6,1,0.67,0.42,0.25,0.28,0.23,359,0.79,113,80,307,215,0.29,67,6,-1,6,15080000
Pedro Obiang,30,2017/2018,Midfielder,West Ham United,1564,770,794,Equatorial Guinea,21,10,11,2,1,1,0,0,0,0,0,5,3,2,27,13,14,3,0,0.12,0.0,0.12,0.12,0.11,782,1.55,58,74,521,0,0.17,137,371,-1,7,2860000
Pedro Rodriguez,35,2017/2018,Midfielder,Chelsea,1522,739,783,Spain,31,14,17,4,2,2,2,1,1,0,0,13,8,5,12,6,6,1,0,0.35,0.12,0.24,0.24,0.23,381,0.71,127,49,1522,761,0.06,70,114,-1,6,3120000
Per Mertesacker,37,2017/2018,Defender,Arsenal,365,103,262,Germany,6,2,4,1,0,1,0,0,0,0,0,1,1,0,5,1,4,0,0,0.25,0.0,0.25,0.0,0.34,365,1.23,73,61,0,0,0.0,66,301,70,15,4680000
Peter Crouch,41,2017/2018,Forward,Stoke City,1554,880,674,England,31,16,15,5,2,3,2,2,0,0,0,4,2,2,25,15,10,4,0,0.41,0.12,0.29,0.2,0.4,311,1.45,62,50,389,777,0.23,57,111,-1,4,2080000
Phil Bardsley,37,2017/2018,Defender,Burnley,1126,496,630,Scotland,13,6,7,0,0,0,0,0,0,0,0,4,2,2,11,6,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0.88,102,87,225,0,0.4,273,256,39,14,1300000
Phil Jagielka,40,2017/2018,Defender,Everton,2065,890,1175,England,25,10,15,0,0,0,0,0,0,0,0,7,5,2,36,10,26,2,0,0.0,0.0,0.0,0.0,0.0,0,1.57,57,83,1033,0,0.09,305,267,147,28,2600000
Phil Jones,30,2017/2018,Defender,Manchester United,1975,810,1165,England,23,9,14,0,0,0,0,0,0,0,0,15,8,7,10,2,8,2,0,0.0,0.0,0.0,0.0,0.0,0,0.46,198,86,988,0,0.09,377,399,4,23,3900000
Philip Billing,26,2017/2018,Midfielder,Huddersfield Town,760,339,421,Denmark,16,8,8,0,0,0,0,0,0,0,0,5,3,2,10,4,6,3,0,0.0,0.0,0.0,0.0,0.0,0,1.18,76,48,253,0,0.36,405,348,-1,20,780000
Philip Foden,22,2017/2018,Midfielder,Manchester City,44,36,8,England,5,4,1,0,0,0,1,1,0,0,0,3,2,1,0,0,0,0,0,2.05,2.05,0.0,0.0,0.0,0,0.0,0,9,0,44,0.0,-1,-1,-1,19,624000
